time,num_people,distance_dist
1601402854.0695643,0,[]
1601402869.0814495,1,[0.0]
1601402884.0929818,0,[]
1601402899.104466,3,"[0.028333548536834566, 0.0008823965762484038, 0.0008823965762484038]"
1601402914.1162686,0,[]
1601402929.11815,2,"[0.07797949298905771, 0.07797949298905771]"
1601402944.1198702,1,[0.0]
1601402960.7570384,0,[]
1601402975.7687206,3,"[0.005738038600431142, 0.055967332971378285, 0.005738038600431142]"
1601402990.7722907,1,[0.0]
1601403005.781439,0,[]
1601403020.7935143,0,[]
1601403035.8055706,0,[]
1601403050.8079414,0,[]
1601403065.8199546,1,[0.0]
1601403080.8318667,0,[]
1601403095.8435135,0,[]
1601403118.9548998,0,[]
1601403133.9598386,1,[0.0]
1601403148.971465,1,[0.0]
1601403163.9819584,1,[0.0]
1601403178.9936068,2,"[0.006778691748209928, 0.006778691748209928]"
1601403194.0013242,2,"[0.002705198843139375, 0.002705198843139375]"
1601403209.0094488,2,"[0.032456125489143284, 0.032456125489143284]"
1601403224.017801,1,[0.0]
1601403239.0298219,1,[0.0]
1601403254.037343,1,[0.0]
1601403269.0493534,1,[0.0]
1601403284.0612226,1,[0.0]
1601403299.073082,3,"[0.14042822616416242, 0.0013455314742342708, 0.0013455314742342708]"
1601403315.526715,1,[0.0]
1601403330.5387123,2,"[0.01613968177739083, 0.01613968177739083]"
1601403345.5493116,3,"[0.009543327463949154, 0.1412078688582119, 0.009543327463949154]"
1601403360.550909,3,"[0.00452710012179496, 0.00452710012179496, 0.027893576090575467]"
1601403375.561321,2,"[0.0425370166403493, 0.0425370166403493]"
1601403390.573332,2,"[0.005380307590350225, 0.005380307590350225]"
1601403405.585327,2,"[0.03899720775087519, 0.03899720775087519]"
1601403420.593337,2,"[0.142355953390715, 0.142355953390715]"
1601403435.6054568,2,"[0.15138450729806388, 0.15138450729806388]"
1601403450.617127,2,"[0.05689314971459581, 0.05689314971459581]"
1601403465.6289985,1,[0.0]
1601403480.6293044,0,[]
1601403495.6414714,1,[0.0]
1601403510.6534228,2,"[0.02034065102753082, 0.02034065102753082]"
1601403525.6647992,1,[0.0]
1601403540.6767507,0,[]
1601403555.688829,1,[0.0]
1601403570.7008405,1,[0.0]
1601403585.7127826,4,"[0.010217600482934276, 0.07208347819363951, 0.00027325708522675177, 0.00027325708522675177]"
1601403600.721341,2,"[0.07259617140928241, 0.07259617140928241]"
1601403617.6842952,1,[0.0]
1601403632.696295,1,[0.0]
1601403647.7002158,0,[]
1601403662.7119627,1,[0.0]
1601403677.723651,1,[0.0]
1601403692.7269652,1,[0.0]
1601403707.7374332,1,[0.0]
1601403722.7493393,1,[0.0]
1601403737.761262,1,[0.0]
1601403752.768444,0,[]
1601403767.7799594,2,"[0.004098952017316984, 0.004098952017316984]"
1601403782.7915847,2,"[0.006886221402755978, 0.006886221402755978]"
1601403797.8013473,0,[]
1601403812.8130035,3,"[0.007427432686305402, 0.11028477192891821, 0.007427432686305402]"
1601403827.815443,2,"[0.007107127273149181, 0.007107127273149181]"
1601403842.8190084,3,"[0.05951910667806053, 0.005944674770607633, 0.005944674770607633]"
1601403859.270839,2,"[0.004200921178688799, 0.004200921178688799]"
1601403874.2802525,4,"[0.11537571976459214, 0.011069894082940625, 0.02698952744968443, 0.011069894082940625]"
1601403889.2908533,1,[0.0]
1601403904.3013282,1,[0.0]
1601403919.3018122,4,"[0.008831185914969066, 0.0004970368142045036, 0.0004970368142045036, 0.008831185914969066]"
1601403934.31369,4,"[0.014697150693145453, 0.09968754341557916, 0.03252696153831609, 0.014697150693145453]"
1601403949.3255143,3,"[0.011129171504229726, 0.03482084504078391, 0.011129171504229726]"
1601403964.3370478,2,"[0.04643712592878873, 0.04643712592878873]"
1601403979.3461776,3,"[0.022733755071256353, 0.04060765022357749, 0.022733755071256353]"
1601403994.3533168,3,"[0.0023845305394236817, 0.005681019428445327, 0.0023845305394236817]"
1601404009.3613386,5,"[0.07358944709196409, 0.021542242493881255, 0.03149588460269895, 0.008678777227623806, 0.008678777227623806]"
1601404024.3733215,4,"[0.021110967697234934, 0.004650833820828248, 0.021110967697234934, 0.004650833820828248]"
1601404039.3747811,5,"[0.01787437040103751, 0.01787437040103751, 0.00676382564432, 0.009630789732463615, 0.00676382564432]"
1601404054.386651,3,"[0.013800224913215363, 0.013800224913215363, 0.05126364180910015]"
1601404069.3984578,4,"[0.00855089779844618, 0.023285682070727183, 0.00855089779844618, 0.023285682070727183]"
1601404084.403653,4,"[0.008656004979691634, 0.023126395707826267, 0.008656004979691634, 0.023126395707826267]"
1601404099.4133286,5,"[0.01381639974727308, 0.010009705206649459, 0.007673011050923262, 0.007673011050923262, 0.010009705206649459]"
1601404114.4250789,5,"[0.008108936381446179, 0.013271358760709196, 0.008108936381446179, 0.013271358760709196, 0.08150000955309242]"
1601404129.4370143,3,"[0.008732861359536047, 0.008732861359536047, 0.052110213337702514]"
1601404144.4373584,4,"[0.008145531716997697, 0.008145531716997697, 0.013472488604733188, 0.013472488604733188]"
1601404167.7242775,4,"[0.008213522888291431, 0.008213522888291431, 0.0007716963564584904, 0.0007716963564584904]"
1601404182.734577,2,"[0.03137396087290107, 0.03137396087290107]"
1601404197.7453415,3,"[0.008472966546133949, 0.031769546209779835, 0.008472966546133949]"
1601404212.7571242,3,"[0.008699159203039188, 0.008699159203039188, 0.03257092147043151]"
1601404227.7661164,3,"[0.03187750959660965, 0.008724964875728816, 0.008724964875728816]"
1601404242.777327,3,"[0.029188716225149722, 0.011698106474623406, 0.011698106474623406]"
1601404257.7889514,4,"[0.00709820720840392, 0.0076675116243759825, 0.025818451474194995, 0.00709820720840392]"
1601404272.7947128,3,"[0.00525131441803988, 0.035430982122392346, 0.00525131441803988]"
1601404287.7987847,4,"[0.01105839031125161, 0.00465108032911758, 0.02565680059940434, 0.00465108032911758]"
1601404302.800904,3,"[0.02439470957912696, 0.01704290682678978, 0.01704290682678978]"
1601404317.8083525,3,"[0.017173924505565426, 0.0240730906631162, 0.017173924505565426]"
1601404332.8202744,3,"[0.017732961141097348, 0.02338243839252738, 0.017732961141097348]"
1601404347.8298512,3,"[0.018248326328684367, 0.022252744967504123, 0.018248326328684367]"
1601404362.8419752,2,"[0.04134760107863419, 0.04134760107863419]"
1601404377.8490806,4,"[0.03889587719878197, 0.0019897463683504406, 0.0019897463683504406, 0.04764900259885497]"
1601404392.861016,2,"[0.04098470575988172, 0.04098470575988172]"
1601404407.8731225,3,"[0.006120319856620377, 0.03521421232190816, 0.006120319856620377]"
1601404422.8813107,4,"[0.006147332654715767, 0.0018671505056065555, 0.006147332654715767, 0.0018671505056065555]"
1601404437.8893235,4,"[0.006079804196411244, 0.0019129143113870645, 0.006079804196411244, 0.0019129143113870645]"
1601404452.9003372,3,"[0.005894929918128829, 0.034620662588976565, 0.005894929918128829]"
1601404467.9093065,2,"[0.040850499633137916, 0.040850499633137916]"
1601404482.9173267,2,"[0.040956855915670096, 0.040956855915670096]"
1601404497.927781,3,"[0.040656174955474994, 0.10549310092894185, 0.040656174955474994]"
1601404514.7837658,2,"[0.04122024054152421, 0.04122024054152421]"
1601404529.7918344,2,"[0.04130260301779699, 0.04130260301779699]"
